description,type,price,size,bedrooms,car_spaces
"Avenida das Araucárias Lote 1735, Sul (águas Claras) · Brasília",Studio,11.300,26 m²,1 quarto,1 vaga
"Qe 40 Conjunto I, Guará Ii · Brasília",Apartamento,10.760,57 m²,2 quartos,0 vaga
"Estância Quintas da Alvorada - Paranoá Brasília - Df 71680-389 Brasil, Estância Quintas da Alvorada · Brasília",apartamento,2.091,160 m²,3 quartos,5 vagas
"Sha Conjunto 5 Chácara 13, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,1.618,630 m²,5 quartos,4 vagas
"10 - Smpw Q. 5 - Núcleo Bandeirante Brasília - Df 71735-500 Brasil, Quadra 5 · Brasília",Casa,8.295,500 m²,5 quartos,5 vagas
"Qro Conjunto Comercial Lote,  Candangolândia · Brasília",apartamento,15.730,45 m²,1 quarto,0 vaga
"Setor de Indústrias Gráficas Conjunto E, Taguatinga Norte (taguatinga) · Brasília",apartamento,9.261,52 m²,1 quarto,1 vaga
"Qe 44 Conjunto A, Guará Ii · Brasília",apartamento,2.883,35 m²,1 quarto,0 vaga
"Quadra Smln Mi Trecho 07, Setor de Mansões do Lago Norte · Brasília",Studio,1.036,60 m²,1 quarto,0 vaga
" Distrito Federal Samambaia Sul Quadra 301 Condomínio Reserva do Horizonte, Samambaia Sul (samambaia) · Brasília",Apartamento,1.075,48 m²,2 quartos,1 vaga
"Rua Alecrim, Norte (águas Claras) · Brasília",Apartamento,3.519,67 m²,1 quarto,1 vaga
"Rua 36 Sul Torre A Apto 814, Águas Claras  · Brasília",Studio,1.934,24 m²,1 quarto,1 vaga
"Sha Conjunto 6 Chácara 26, Colônia Agrícola Vereda da Cruz · Brasília",Casa,2.844,340 m²,5 quartos,2 vagas
"Chácara 28-b, Setor Habitacional Samambaia (Taguatinga) · Brasília",casa,4.749,430 m²,5 quartos,4 vagas
"Qsf 15, Taguatinga Sul (taguatinga) · Brasília",casa,7.058,60 m²,2 quartos,2 vagas
" Crnw 510 Lote 3, Setor Noroeste  · Brasília",Apartamento,4.602,34 m²,1 quarto,1 vaga
"Rua 30, Sul (águas Claras) · Brasília",Apartamento,1.392,75 m²,2 quartos,1 vaga
"Qnl 13 Bloco B, Taguatinga Norte (taguatinga) · Brasília",Apartamento,3.789,60 m²,3 quartos,2 vagas
"Asa Norte Sqn 105 Bloco I - Asa Norte, Asa Norte · Brasília",Apartamento,3.459,127 m²,3 quartos,0 vaga
"5 - Setor Qi Qi - Taguatinga Brasília - Df Brasil, Setor de Desenvolvimento Econômico (taguatinga) · Brasília",Apartamento,1.802,72 m²,3 quartos,1 vaga
"Gemétris Chácara 1, Setor Habitacional Vicente Pires - Trecho 3 · Brasília",Apartamento,6.842,80 m²,2 quartos,0 vaga
"Rua 5 Pólo de Modas Lote 13 Sria - Guará Ii, Guará Ii · Brasília",apartamento,2.443,42 m²,2 quartos,0 vaga
"Rua 30 Norte Lote, Norte (águas Claras) · Brasília",Apartamento,1.961,56 m²,2 quartos,1 vaga
"Scrn, Asa Norte · Brasília",apartamento,1.616,27 m²,1 quarto,0 vaga
"Rua 37 Sul, Sul (águas Claras) · Brasília",Apartamento,3.193,98 m²,3 quartos,1 vaga
"Ca 5 - Edifício Solarium Center, Setor de Habitações Individuais Norte · Brasília",Studio,1.719,39 m²,1 quarto,0 vaga
"Qi 24 Resid Top Life Long Beach, Setor Industrial (taguatinga) · Brasília",apartamento,4.979,52 m²,2 quartos,1 vaga
"10 - Guará Ii Qe 38 - Guará Brasília - Df 71070-080 Brasil, Qe 38 · Brasília",Apartamento,1.774,105 m²,2 quartos,0 vaga
"Qnc 7, Taguatinga Norte (taguatinga) · Brasília",Casa,2.483,80 m²,2 quartos,1 vaga
"Quadra 104, Quadra 104 · Brasília",apartamento,3.469,84 m²,3 quartos,1 vaga
"Setor Sig Conjunto D, Taguatinga Norte (taguatinga) · Brasília",Apartamento,2.535,52 m²,2 quartos,1 vaga
"Sibs Q 3, Q 3 · Brasília",casa,3.967,380 m²,3 quartos,5 vagas
"Sh Jardim Botânico Condomínio Jardim Botânico V - Jardim Botânico Brasília - Df 71680-368 Brasil, Condomínio Jardim Botânico V · Brasília",casa,1.507,200 m²,2 quartos,2 vagas
"Qs 7 Rua 820, Areal (águas Claras) · Brasília",Apartamento,21.230,28 m²,1 quarto,1 vaga
"St. G Sul Q Cs Csg 4 - Taguatinga Brasília - Df Brasil, Csg 4 · Brasília",Apartamento,5.123,42 m²,1 quarto,1 vaga
"Ceilândia Brasília - Df 72265-010 Brasil, Cêilandia  · Brasília",Studio,1.891,49 m²,1 quarto,0 vaga
"Qnm 29 Área Especial J, Ceilândia Sul (ceilândia) · Brasília",Apartamento,1.090,42 m²,2 quartos,1 vaga
"Quadra Q 2 Conjunto D, Setor de Desenvolvimento Econômico (taguatinga) · Brasília",Apartamento,941,65 m²,2 quartos,0 vaga
"Quadra Q 2 Conjunto D, Setor de Desenvolvimento Econômico (taguatinga) · Brasília",Apartamento,2.577,65 m²,2 quartos,0 vaga
"Q. Qn 110 Cj 2 0 - Samambaia Sul, Samambaia Sul (samambaia) · Brasília",Apartamento,1.310,86 m²,2 quartos,1 vaga
"Qnm 29, Ceilândia Sul (ceilândia) · Brasília",Apartamento,1.310,40 m²,2 quartos,1 vaga
"Quadra Qnl 21, Taguatinga Norte (Taguatinga) · Brasília",casa,2.120,147 m²,3 quartos,4 vagas
"Samambaia Norte, Samambaia · Brasília",Apartamento,2.155,48 m²,1 quarto,1 vaga
"Qnm 23 Conjunto C, Ceilândia Sul (ceilândia) · Brasília",casa,3.021,430 m²,6 quartos,4 vagas
"Qr 601 Conjunto 17, Samambaia Norte (samambaia) · Brasília",Casa,2.007,92 m²,2 quartos,2 vagas
"Qr 601 Conjunto 17, Samambaia Norte (samambaia) · Brasília",Casa,4.051,92 m²,2 quartos,2 vagas
"Qr 406 Conjunto 21 A Lote 1, Samambaia Norte (samambaia) · Brasília",apartamento,2.347,58 m²,2 quartos,1 vaga
