description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"Rua 17, SUL, AGUAS CLARAS",,Aluguel Apartamento 34 m²,1.900,34 m²,1 Quarto,,1 Vaga,aluguel
"SHIGS 703 Bloco M, ASA SUL, BRASILIA",,Aluguel Casa 313 m²,7.500,313 m²,3 Quartos,,1 Vaga,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 520 m²,8.900,520 m²,6 Quartos,,5 Vagas,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,Aluguel Apartamento 74 m²,5.500,74 m²,2 Quartos,,2 Vagas,aluguel
"SHIS QL 28 Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa 447 m²,19.600,447 m²,4 Quartos,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,5.100,26 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Jardim América, SOBRADINHO, SOBRADINHO",,Aluguel Casa 170 m²,5.000,170 m²,3 Quartos,,5 Vagas,aluguel
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,Aluguel Apartamento 31 m²,3.150,31 m²,1 Quarto,,,aluguel
"SMAS, PARK SUL, BRASILIA",,Aluguel Apartamento 87 m²,6.200,87 m²,3 Quartos,,2 Vagas,aluguel
"Condomínio São Francisco II, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 344 m²,4.400,344 m²,3 Quartos,,6 Vagas,aluguel
"SRTVS, ASA SUL, BRASILIA",,Aluguel Sala 180 m²,10.000,180 m²,,,6 Vagas,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 400 m²,14.000,400 m²,4 Quartos,,4 Vagas,aluguel
"QNM 18 Conjunto A, CEILANDIA NORTE, CEILANDIA",,Aluguel Apartamento 60 m²,1.200,60 m²,2 Quartos,,,aluguel
"Rua ARAGUAIA, CHACARAS YPIRANGA, VALPARAISO DE GOIAS",,"Aluguel Rural 0,10 ha",20.000,,,,,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 696 m²,24.379,696 m²,,,9 Vagas,aluguel
"SQNW 309, NOROESTE, BRASILIA",,Aluguel Apartamento 201 m²,9.800,201 m²,3 Quartos,,2 Vagas,aluguel
"SMPW Quadra 15 Conjunto 3, PARK WAY, BRASILIA",,Aluguel Casa 480 m²,23.000,480 m²,4 Quartos,,4 Vagas,aluguel
"Avenida Comercial, TAQUARI, BRASILIA",,Aluguel Lote/Terreno/Área 2245 m²,55.000,2245 m²,,,,aluguel
"SHN Quadra 02 Bloco H, ASA NORTE, BRASILIA",,Aluguel Loja 34 m²,600,34 m²,,,,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,Aluguel Apartamento 82 m²,2.900,82 m²,2 Quartos,,1 Vaga,aluguel
"QE 17 Conjunto H, GUARA II, GUARA",,Aluguel Casa 404 m²,7.200,404 m²,3 Quartos,,4 Vagas,aluguel
"Rua 21, NORTE, AGUAS CLARAS",,Aluguel Apartamento 244 m²,5.100,244 m²,3 Quartos,,3 Vagas,aluguel
"QE 40, GUARA II, GUARA",,Aluguel Apartamento 38 m²,1.500,38 m²,2 Quartos,,,aluguel
"CA 05, LAGO NORTE, BRASILIA",,Aluguel Sala 200 m²,7.500,200 m²,,,,aluguel
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",,Aluguel Loja 67 m²,4.800,67 m²,,,,aluguel
"Rua 4, NORTE, AGUAS CLARAS",,Aluguel Apartamento 32 m²,1.850,32 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QI 23 Conjunto 1, LAGO SUL, BRASILIA",,Aluguel Casa 650 m²,10.500,650 m²,4 Quartos,,2 Vagas,aluguel
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 380 m²,7.900,380 m²,3 Quartos,,2 Vagas,aluguel
"SHLS Bloco L, ASA SUL, BRASILIA",,Aluguel Sala 38 m²,2.400,38 m²,,,1 Vaga,aluguel
"Área Especial para Indústria 11 Lote 14, SOBRADINHO, SOBRADINHO",,Aluguel Galpão 2000 m²,25.000,2000 m²,,,,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Loja 147 m²,35.000,147 m²,,,,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 6 Conjunto 5, PÓLO JK, SANTA MARIA",,Aluguel Galpão 1600 m²,60.000,1600 m²,,,,aluguel
"SHIN QL 1 Conjunto 1, LAGO NORTE, BRASILIA",,Aluguel Casa 285 m²,13.000,285 m²,3 Quartos,,4 Vagas,aluguel
"Rua 33, NORTE, AGUAS CLARAS",,Aluguel Apartamento 164 m²,7.000,164 m²,3 Quartos,,2 Vagas,aluguel
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 280 m²,7.000,280 m²,3 Quartos,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Apartamento 26 m²,4.900,26 m²,1 Quarto,,1 Vaga,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 74 m²,2.000,74 m²,1 Quarto,,1 Vaga,aluguel
"SHDB QL 32 Conjunto 14, LAGO SUL, BRASILIA",,Aluguel Casa 730 m²,19.750,730 m²,5 Quartos,,2 Vagas,aluguel
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",,Aluguel Sala 300 m²,18.033,300 m²,,,,aluguel
"SCS Quadra 6, ASA SUL, BRASILIA",,Aluguel Sala 596 m²,40.000,596 m²,,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,5.000,26 m²,1 Quarto,,1 Vaga,aluguel
"SCN Quadra 02 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 27 m²,1.927,27 m²,,,1 Vaga,aluguel
"SEPN 516 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 472 m²,26.173,472 m²,,,,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,Aluguel Apartamento 74 m²,5.500,74 m²,2 Quartos,,2 Vagas,aluguel
"SGCV Lote 27, PARK SUL, BRASILIA",,Aluguel Apartamento 70 m²,7.000,70 m²,2 Quartos,,1 Vaga,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 372 m²,21.000,372 m²,,,6 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 347 m²,25.000,347 m²,4 Quartos,,4 Vagas,aluguel
"Rua 25, NORTE, AGUAS CLARAS",,Aluguel Apartamento 140 m²,5.600,140 m²,3 Quartos,,1 Vaga,aluguel
"SIG Quadra 3 Bloco C, SIG, BRASILIA",,Aluguel Loja 384 m²,18.000,384 m²,,,,aluguel
"Condomínio Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 550 m²,16.500,550 m²,4 Quartos,,4 Vagas,aluguel
"CLNW 10/11, NOROESTE, BRASILIA",,Aluguel Kitnet 33 m²,3.200,33 m²,1 Quarto,,1 Vaga,aluguel
"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA",,Aluguel Casa 500 m²,7.800,500 m²,4 Quartos,,4 Vagas,aluguel
"SHA Conjunto 4, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa 650 m²,12.000,650 m²,4 Quartos,,6 Vagas,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,Aluguel Apartamento 81 m²,3.000,81 m²,2 Quartos,,1 Vaga,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 6 Conjunto 5, PÓLO JK, SANTA MARIA",,Aluguel Galpão 2000 m²,52.000,2000 m²,,,,aluguel
"SHIS QI 19, LAGO SUL, BRASILIA",,Aluguel Casa 565 m²,25.000,565 m²,4 Quartos,,4 Vagas,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 800 m²,14.000,800 m²,4 Quartos,,4 Vagas,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 6 Conjunto 5, PÓLO JK, SANTA MARIA",,Aluguel Galpão 7257 m²,175.000,7257 m²,,,,aluguel
"SQNW 303 Bloco F, NOROESTE, BRASILIA",,Aluguel Apartamento 201 m²,15.900,201 m²,4 Quartos,,4 Vagas,aluguel
"SQN 211, ASA NORTE, BRASILIA",,Aluguel Apartamento 197 m²,9.500,197 m²,2 Quartos,,2 Vagas,aluguel
"SMPW Quadra 3 Conjunto 5, PARK WAY, BRASILIA",,Aluguel Casa Condominio 990 m²,18.000,990 m²,2 Quartos,,4 Vagas,aluguel
"COPAIBA 1, NORTE, AGUAS CLARAS",,Aluguel Sala 37 m²,2.200,37 m²,,,,aluguel
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,Aluguel Galpão 199 m²,6.965,199 m²,,,,aluguel
"SQN 111 Bloco A, ASA NORTE, BRASILIA",,Aluguel Apartamento 168 m²,12.000,168 m²,3 Quartos,,2 Vagas,aluguel
"SQNW 302 Bloco E, NOROESTE, BRASILIA",,Aluguel Apartamento 89 m²,8.000,89 m²,2 Quartos,,2 Vagas,aluguel
"Rua 4B, VICENTE PIRES, VICENTE PIRES",,Aluguel Sala 35 m²,1.600,35 m²,,,,aluguel
"SHIS QI 29 Conjunto 6, LAGO SUL, BRASILIA",,Aluguel Casa 640 m²,18.500,640 m²,5 Quartos,,3 Vagas,aluguel
"SQN 405, ASA NORTE, BRASILIA",,Aluguel Apartamento 79 m²,4.500,79 m²,3 Quartos,,,aluguel
"SMLN MI Trecho 05, LAGO NORTE, BRASILIA",,Aluguel Casa 160 m²,12.600,160 m²,5 Quartos,,2 Vagas,aluguel
"Rua 19, SUL, AGUAS CLARAS",,Aluguel Apartamento 75 m²,3.500,75 m²,2 Quartos,,2 Vagas,aluguel
"Rua 28, SUL, AGUAS CLARAS",,Aluguel Apartamento 189 m²,5.500,189 m²,4 Quartos,,3 Vagas,aluguel
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",,Aluguel Sala 34 m²,1.000,34 m²,,,1 Vaga,aluguel
"SIA Trecho 3, SIA, SETOR INDUSTRIAL",,Aluguel Sala 1099 m²,4.118,1099 m²,,,,aluguel
"SAAN Quadra 3, SAAN, SETOR INDUSTRIAL",,Aluguel Sala 168 m²,6.500,168 m²,,,,aluguel
"SHDB QL 32 , LAGO SUL, BRASILIA",,Aluguel Casa Condominio 730 m²,19.750,730 m²,5 Quartos,,3 Vagas,aluguel
"Rua 12, VICENTE PIRES, VICENTE PIRES",,Aluguel Galpão 400 m²,12.000,400 m²,,,,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 71 m²,10.500,71 m²,2 Quartos,,2 Vagas,aluguel
"SHIS QI 26, LAGO SUL, BRASILIA",,Aluguel Loja 64 m²,3.500,64 m²,,,,aluguel
"SCRN 502 Bloco B, ASA NORTE, BRASILIA",,Aluguel Prédio 2250 m²,15.000,2250 m²,,,,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Loja 4260 m²,130.000,4260 m²,,,10 Vagas,aluguel
"SGAS 915, ASA SUL, BRASILIA",,Aluguel Sala 48 m²,3.500,48 m²,,,,aluguel
"SMAS Trecho 3, PARK SUL, BRASILIA",,Aluguel Sala 37 m²,3.200,37 m²,,,1 Vaga,aluguel
"SRTVS Bloco K, ASA SUL, BRASILIA",,Aluguel Sala 148 m²,8.500,148 m²,,,3 Vagas,aluguel
"SHIS QI 17, LAGO SUL, BRASILIA",,Aluguel Casa 300 m²,13.000,300 m²,4 Quartos,,1 Vaga,aluguel
"CL 215, SANTA MARIA, SANTA MARIA",,Aluguel Sala 35 m²,1.500,35 m²,,,,aluguel
"SIA Trecho 3, SIA, SETOR INDUSTRIAL",,Aluguel Sala 88 m²,1.760,88 m²,,,,aluguel
"SCS Quadra 6, ASA SUL, BRASILIA",,Aluguel Loja 236 m²,23.000,236 m²,,,,aluguel
"Condomínio Estancia Jardim Botânico, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 400 m²,11.500,400 m²,4 Quartos,,4 Vagas,aluguel
"SIA Trecho 3, SIA, SETOR INDUSTRIAL",,Aluguel Prédio 3968 m²,130.000,3968 m²,,,1 Vaga,aluguel
"SHIS QI 21 Bloco A, LAGO SUL, BRASILIA",,Aluguel Loja 26 m²,3.500,26 m²,,,,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,Aluguel Apartamento 134 m²,12.000,134 m²,4 Quartos,,3 Vagas,aluguel
"Praça de Atividades 4, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Loja 106 m²,9.000,106 m²,,,,aluguel
"SHIS QI 7 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 800 m²,17.000,800 m²,6 Quartos,,6 Vagas,aluguel
"QNH Área Especial 3, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Sala 350 m²,7.500,350 m²,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",,Aluguel Sala 131 m²,15.200,131 m²,,,2 Vagas,aluguel
"Praça de Atividades 4, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Loja 98 m²,6.600,98 m²,,,,aluguel
"SHIS QI 3 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 400 m²,29.500,400 m²,4 Quartos,,6 Vagas,aluguel
"Quadra 5MR1, SETOR LESTE, PLANALTINA DE GOIAS",,Aluguel Apartamento 67 m²,880,67 m²,2 Quartos,,1 Vaga,aluguel
"Quadra 208, SUL, AGUAS CLARAS",,Aluguel Apartamento 95 m²,5.900,95 m²,3 Quartos,,2 Vagas,aluguel
"Área Especial 02 Módulo B, GUARA II, GUARA",,Aluguel Apartamento 62 m²,3.000,62 m²,2 Quartos,,1 Vaga,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 720 m²,27.000,720 m²,4 Quartos,,4 Vagas,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 39 m²,4.000,39 m²,1 Quarto,,1 Vaga,aluguel
"SMS 47, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,Aluguel Apartamento 60 m²,1.450,60 m²,2 Quartos,,1 Vaga,aluguel
"Avenida Jacarandá, SUL, AGUAS CLARAS",,Aluguel Apartamento 30 m²,1.500,30 m²,1 Quarto,,,aluguel
"Rua 4, SUL, AGUAS CLARAS",,Aluguel Apartamento 101 m²,3.950,101 m²,3 Quartos,,2 Vagas,aluguel
