description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,2600.0,64.0,2.0,,1.0,aluguel
"AREA COMERCIAL IV, VALPARAISO II, VALPARAISO DE GOIAS",,apartamento,1500.0,63.0,3.0,,1.0,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,2200.0,27.0,1.0,,,aluguel
"SQNW 109 Bloco F, NOROESTE, BRASILIA",,apartamento,5000.0,78.0,2.0,,1.0,aluguel
"CNB 11, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1450.0,55.0,2.0,,1.0,aluguel
"qdra 6 Conjunto 6, VICENTE PIRES, VICENTE PIRES",,apartamento,1800.0,60.0,2.0,,,aluguel
"SQNW 108 Bloco G, NOROESTE, BRASILIA",,apartamento,5380.0,73.0,2.0,,2.0,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,2900.0,82.0,2.0,,1.0,aluguel
"SQN 109, ASA NORTE, BRASILIA",,apartamento,9000.0,110.0,3.0,,2.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,12000.0,110.0,3.0,,2.0,aluguel
"SQN 109 Bloco K, ASA NORTE, BRASILIA",,apartamento,9500.0,168.0,3.0,,2.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,13000.0,136.0,3.0,,3.0,aluguel
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,3890.0,104.0,3.0,,2.0,aluguel
"SQNW 311 Bloco C, NOROESTE, BRASILIA",,apartamento,4000.0,38.0,1.0,,1.0,aluguel
"Rua 19, SUL, AGUAS CLARAS",,apartamento,3500.0,75.0,2.0,,2.0,aluguel
"SQNW 107, NOROESTE, BRASILIA",,apartamento,4900.0,68.0,2.0,,2.0,aluguel
"SQNW 108, NOROESTE, BRASILIA",,apartamento,10900.0,154.0,2.0,,2.0,aluguel
"CA 10, LAGO NORTE, BRASILIA",,apartamento,3100.0,60.0,1.0,,1.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,11500.0,100.0,3.0,,2.0,aluguel
"Rua 36, NORTE, AGUAS CLARAS",,apartamento,2850.0,56.0,2.0,,1.0,aluguel
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,2800.0,80.0,3.0,,2.0,aluguel
"QC 11 Rua D, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2300.0,48.0,2.0,,1.0,aluguel
"SHDB QL 32 , LAGO SUL, BRASILIA",,apartamento,5900.0,182.0,3.0,,,aluguel
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,3800.0,104.0,3.0,,2.0,aluguel
"Avenida Sucupira, RIACHO FUNDO, RIACHO FUNDO",,kitnet,900.0,35.0,1.0,,,aluguel
"SQS 103, ASA SUL, BRASILIA",,apartamento,5600.0,102.0,2.0,,1.0,aluguel
"CSB 2, TAGUATINGA SUL, TAGUATINGA",,apartamento,1400.0,62.0,2.0,,1.0,aluguel
"Rua 31, SUL, AGUAS CLARAS",,apartamento,2900.0,56.0,2.0,,,aluguel
"Quadra 8 Comércio Local 29, SOBRADINHO, SOBRADINHO",,kitnet,900.0,30.0,1.0,,1.0,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3900.0,55.0,2.0,,1.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,6500.0,100.0,1.0,,1.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4400.0,48.0,1.0,,1.0,aluguel
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,2400.0,34.0,1.0,,,aluguel
"SQNW 304, NOROESTE, BRASILIA",,apartamento,13500.0,165.0,3.0,,3.0,aluguel
"Conjunto Residencial 1 Cond 2 Bloco E, PARQUE DAS CACHOEIRAS, VALPARAISO DE GOIAS",,apartamento,1200.0,48.0,2.0,,1.0,aluguel
"Quadra 105, NORTE, AGUAS CLARAS",,apartamento,3700.0,112.0,3.0,,1.0,aluguel
"SGAS 905, ASA SUL, BRASILIA",,kitnet,1800.0,28.0,1.0,,1.0,aluguel
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2800.0,45.0,1.0,,1.0,aluguel
