description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"STRC Trecho 3, SETOR INDUSTRIAL, GUARA",,Aluguel Galpão 3800 m²,70.000,3800 m²,,,,aluguel
"SRTVS, ASA SUL, BRASILIA",,Aluguel Sala 72 m²,3.500,72 m²,,,1 Vaga,aluguel
"Rua 27, NORTE, AGUAS CLARAS",,Aluguel Apartamento 130 m²,6.800,130 m²,3 Quartos,,2 Vagas,aluguel
"CCSW 4 Lote 4 Bloco C, SUDOESTE, BRASILIA",,Aluguel Apartamento 28 m²,1.900,28 m²,1 Quarto,,1 Vaga,aluguel
"Quadra 8 Comércio Local 29, SOBRADINHO, SOBRADINHO",,Aluguel Kitnet 30 m²,900,30 m²,1 Quarto,,1 Vaga,aluguel
"SGAS 905, ASA SUL, BRASILIA",,Aluguel Kitnet 28 m²,1.800,28 m²,1 Quarto,,1 Vaga,aluguel
"QS 303 Conjunto 6, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 47 m²,1.850,47 m²,2 Quartos,,1 Vaga,aluguel
"SAUS Quadra 5, ASA SUL, BRASILIA",,Aluguel Prédio 4588 m²,250.000,4588 m²,,,53 Vagas,aluguel
"Rua 34, NORTE, AGUAS CLARAS",,Aluguel Sala 78 m²,2.300,78 m²,,,,aluguel
"SHIS QL 2 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 404 m²,16.900,404 m²,4 Quartos,,6 Vagas,aluguel
"Quadra 105, NORTE, AGUAS CLARAS",,Aluguel Apartamento 45 m²,2.300,45 m²,2 Quartos,,1 Vaga,aluguel
"QE 17 Conjunto H, GUARA II, GUARA",,Aluguel Casa 404 m²,7.200,404 m²,3 Quartos,,4 Vagas,aluguel
"QE 7 Bloco C, GUARA I, GUARA",,Aluguel Sala 30 m²,1.000,30 m²,,,,aluguel
"SHS Quadra 6 Conjunto A, ASA SUL, BRASILIA",,Aluguel Sala 72 m²,11.500,72 m²,,,,aluguel
"SQNW 108 Bloco B, NOROESTE, BRASILIA",,Aluguel Apartamento 125 m²,9.900,125 m²,3 Quartos,,2 Vagas,aluguel
"SHIS QI 28 Chacará s 7 a 12, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 450 m²,22.000,450 m²,4 Quartos,,2 Vagas,aluguel
"Área Especial 4, GUARA II, GUARA",,Aluguel Loja 60 m²,5.300,60 m²,,,,aluguel
"SHN Quadra 1, ASA NORTE, BRASILIA",,Aluguel Sala 28 m²,850,28 m²,,,,aluguel
"SMPW Quadra 17, PARK WAY, BRASILIA",,Aluguel Casa 220 m²,4.900,220 m²,3 Quartos,,1 Vaga,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,Aluguel Kitnet 32 m²,1.250,32 m²,1 Quarto,,,aluguel
"CL 214, SANTA MARIA, SANTA MARIA",,Aluguel Galpão 40 m²,2.000,40 m²,,,,aluguel
"QNH Área Especial 3, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Sala 350 m²,7.500,350 m²,,,,aluguel
