description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQS 408 Bloco F, ASA SUL, BRASILIA",,apartamento,3100.0,43.0,1.0,,,aluguel,,
"SGCV, PARK SUL, BRASILIA",,apartamento,3000.0,30.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"Quadra 301 Conjunto 1, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1500.0,62.0,2.0,,1.0,aluguel,-15.8823692,-48.0878368
"SQSW 305, SUDOESTE, BRASILIA",,apartamento,20000.0,300.0,4.0,,4.0,aluguel,-15.8054368,-47.9335081
"Rua 36, SUL, AGUAS CLARAS",,apartamento,2000.0,25.0,1.0,,,aluguel,-15.8356039,-48.0380838
"SMAS Trecho 1 C, PARK SUL, BRASILIA",,apartamento,5200.0,73.0,2.0,,2.0,aluguel,-15.8368348,-47.945102
"Rua COPAIBA, NORTE, AGUAS CLARAS",,apartamento,2800.0,34.0,1.0,,,aluguel,-15.8342015,-48.0399113
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,10500.0,71.0,2.0,,2.0,aluguel,-15.7876153,-47.8435403
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,7200.0,51.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,apartamento,12000.0,134.0,4.0,,3.0,aluguel,,
"QE 40, GUARA II, GUARA",,apartamento,1500.0,38.0,2.0,,,aluguel,-15.8419452,-47.9855289
"Rua 14, SUL, AGUAS CLARAS",,apartamento,2500.0,61.0,2.0,,1.0,aluguel,-15.8384039,-48.0192201
"CA 08, LAGO NORTE, BRASILIA",,apartamento,4000.0,74.0,2.0,,1.0,aluguel,-15.7136449,-47.8876116
"SEPS 712/912, ASA SUL, BRASILIA",,kitnet,1900.0,25.0,1.0,,,aluguel,-15.8170813,-47.9172328
"SES Quadra 1, SETOR ECONOMICO DE SOBRADINHO, SOBRADINHO",,apartamento,1100.0,80.0,2.0,,,aluguel,,
"Quadra 106, NORTE, AGUAS CLARAS",,apartamento,3500.0,65.0,2.0,,1.0,aluguel,-15.8358021,-48.0312744
"Quadra 201, SUL, AGUAS CLARAS",,apartamento,1950.0,45.0,1.0,,1.0,aluguel,-29.9198671,-51.0635217
"Rua MANACA, SUL, AGUAS CLARAS",,apartamento,1900.0,32.0,1.0,,1.0,aluguel,-15.8343289,-48.0086332
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,apartamento,3400.0,63.0,2.0,,,aluguel,-15.8297333,-48.0179572
"SQS 116 Bloco J, ASA SUL, BRASILIA",,apartamento,3900.0,66.0,2.0,,1.0,aluguel,-15.8329999,-47.9248604
"CA 02, LAGO NORTE, BRASILIA",,apartamento,4000.0,57.0,2.0,,1.0,aluguel,-15.7180106,-47.8825455
"Rua 21, NORTE, AGUAS CLARAS",,apartamento,4900.0,244.0,3.0,,3.0,aluguel,-11.7154093,-49.1038191
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,11400.0,100.0,3.0,,2.0,aluguel,-15.7876153,-47.8435403
"QC 1, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2300.0,48.0,2.0,,1.0,aluguel,-15.8869551,-47.8167176
"QE 5, GUARA I, GUARA",,apartamento,2300.0,39.0,1.0,,1.0,aluguel,-15.8307171,-47.975955
"SQN 108, ASA NORTE, BRASILIA",,apartamento,6000.0,126.0,3.0,,1.0,aluguel,-15.7635048,-47.8859617
"QMSW 5 Lote 2 Bloco B, SUDOESTE, BRASILIA",,kitnet,3200.0,26.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5800.0,74.0,2.0,,2.0,aluguel,,
"SQS 308 Bloco C, ASA SUL, BRASILIA",,apartamento,7250.0,154.0,3.0,,1.0,aluguel,,
"QN 120 Conjunto 2, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2200.0,42.0,2.0,,1.0,aluguel,,
"SQS 211 Bloco D, ASA SUL, BRASILIA",,apartamento,6000.0,169.0,4.0,,1.0,aluguel,,
"SQSW 504 Bloco I, SUDOESTE, BRASILIA",,apartamento,4700.0,81.0,2.0,,1.0,aluguel,-15.8049392,-47.9279162
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3100.0,35.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"SQS 108, ASA SUL, BRASILIA",,apartamento,5600.0,88.0,2.0,,,aluguel,-15.8166635,-47.9040639
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",,apartamento,3000.0,67.0,3.0,,2.0,aluguel,-15.8106303,-48.0776866
"SHS Quadra 02 Bloco J, ASA SUL, BRASILIA",,apartamento,4300.0,49.0,1.0,,,aluguel,,
