description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQSW 304 Bloco I, SUDOESTE, BRASILIA",,apartamento,1198.0,90.0,3.0,,1.0,venda,-15.8003498,-47.9299986
"Quadra 301 Rua D Conjunto 1NORTE, AGUAS CLARAS",,apartamento,399700.0,50.0,2.0,,,venda,-15.8290032,-48.0136174
"SQS 107, ASA SUL, BRASILIA",,apartamento,2850.0,264.0,4.0,,1.0,venda,-15.8142336,-47.9014186
"SQSW 304 Bloco I, SUDOESTE, BRASILIA",,apartamento,1298.0,86.0,3.0,,1.0,venda,-15.8003498,-47.9299986
"Rua COPAIBANORTE, AGUAS CLARAS",,apartamento,746888.0,62.0,2.0,,,venda,-15.8317475,-48.0391246
"SQNW 110 Bloco B, NOROESTE, BRASILIA",,apartamento,2150.0,152.0,4.0,,4.0,venda,-15.7447786,-47.9096622
"SQSW 500 Bloco OSUDOESTE, BRASILIA",,apartamento,,159.0,4.0,,,venda,-15.7856059,-47.920991
"SQS 412 Bloco N, ASA SUL, BRASILIA",,apartamento,556500.0,53.0,2.0,,,venda,-15.8294606,-47.911262
"SHCES Quadra 1207, NOVO, CRUZEIRO",,apartamento,635000.0,63.0,3.0,,,venda,-15.794323,-47.9360366
"SQSW 500 Bloco QSUDOESTE, BRASILIA",,apartamento,2310.0,126.0,3.0,,,venda,-15.7856059,-47.920991
"QS 3 Rua 430, AREAL, AGUAS CLARAS",,apartamento,493612.0,57.0,2.0,,1.0,venda,-15.8464159,-48.0407296
"SQB 1GUARA I, GUARA",,apartamento,,109.0,3.0,,,venda,-15.8120936,-47.9946202
"Quadra 209, SUL, AGUAS CLARAS",,apartamento,1100.0,111.0,3.0,,2.0,venda,-15.8406744,-48.039042
"SQNW 306 Bloco CNOROESTE, BRASILIA",,apartamento,3055.0,220.0,3.0,,,venda,-15.7566108,-47.9127078
"SQS 402, ASA SUL, BRASILIA",,apartamento,770000.0,72.0,2.0,,,venda,-15.8077884,-47.8841141
"SQNW 306 Bloco G, NOROESTE, BRASILIA",,apartamento,4455.0,270.0,4.0,,5.0,venda,-15.741419,-47.9114547
"Rua 35SUL, AGUAS CLARAS",,apartamento,764651.0,65.0,2.0,,,venda,-15.837389,-48.0385341
"SQNW 102 Bloco K, NOROESTE, BRASILIA",,apartamento,1698.0,101.0,3.0,,2.0,venda,-15.7671098,-47.9075588
"SQNW 104 Bloco F, NOROESTE, BRASILIA",,apartamento,2073.0,112.0,3.0,,2.0,venda,-15.761381,-47.9101125
"SQNW 311 Bloco INOROESTE, BRASILIA",,apartamento,2804.0,153.0,4.0,,,venda,-15.7422683,-47.9131293
"SQNW 103 Bloco F, NOROESTE, BRASILIA",,apartamento,5100.0,291.0,4.0,,4.0,venda,-15.7639869,-47.9087678
"SQNW 302 Bloco BNOROESTE, BRASILIA",,apartamento,,292.0,4.0,,,venda,-15.7683158,-47.911388
"QR 122 Conjunto 1SAMAMBAIA SUL, SAMAMBAIA",,apartamento,197255.0,32.0,1.0,,,venda,-15.8708375,-48.0626354
"SQSW 500SUDOESTE, BRASILIA",,apartamento,10200.0,548.0,4.0,,,venda,-15.7859792,-47.9215024
"SQNW 302 Bloco HNOROESTE, BRASILIA",,apartamento,,69.0,2.0,,,venda,-15.766856,-47.9108948
"SQNW 102 Bloco K, NOROESTE, BRASILIA",,apartamento,2700.0,203.0,3.0,,3.0,venda,-15.7671098,-47.9075588
"SQNW 102, NOROESTE, BRASILIA",,apartamento,4840.0,338.0,4.0,,4.0,venda,-15.7671098,-47.9075588
"Rua COPAIBANORTE, AGUAS CLARAS",,apartamento,1007.0,84.0,3.0,,,venda,-15.8317475,-48.0391246
"Quadra 201SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,315000.0,49.0,2.0,,,venda,-15.871528,-48.091854
"SQNW 105 Bloco D, NOROESTE, BRASILIA",,apartamento,4695.0,292.0,4.0,,4.0,venda,-15.7643017,-47.9088787
"QI 33GUARA II, GUARA",,apartamento,,144.0,3.0,,,venda,-15.7910772,-47.8798667
"SQSW 104 Bloco C, SUDOESTE, BRASILIA",,apartamento,2100.0,144.0,4.0,,2.0,venda,-15.8041293,-47.9286053
"QI 33GUARA II, GUARA",,apartamento,1578.0,127.0,4.0,,,venda,-15.7910772,-47.8798667
"SQNW 306 Bloco H, NOROESTE, BRASILIA",,apartamento,3080.0,215.0,4.0,,5.0,venda,-15.7566271,-47.9123343
"QI 23 Lote 5GUARA II, GUARA",,apartamento,961338.0,71.0,2.0,,,venda,-15.8378291,-47.9868412
"SQN 115 Bloco H, ASA NORTE, BRASILIA",,apartamento,1149.0,101.0,3.0,,1.0,venda,-15.742262,-47.8922431
"SQNW 307 Bloco FNOROESTE, BRASILIA",,apartamento,,163.0,2.0,,,venda,-15.7527817,-47.9124826
"SMAS Trecho 3 Lote 7PARK SUL, BRASILIA",,apartamento,824342.0,58.0,2.0,,,venda,-15.8363681,-47.9508646
"SQN 213, ASA NORTE, BRASILIA",,apartamento,2490.0,222.0,4.0,,2.0,venda,-15.7474199,-47.8865859
"SQNW 106 Bloco C, NOROESTE, BRASILIA",,apartamento,3498.0,204.0,4.0,,4.0,venda,-15.7561384,-47.9103231
"SMAS Trecho 3 Lote 7PARK SUL, BRASILIA",,apartamento,819197.0,57.0,2.0,,,venda,-15.8363681,-47.9508646
"Alameda Gravatá Quadra 301 Conjunto 12, NORTE, AGUAS CLARAS",,apartamento,589000.0,71.0,3.0,,2.0,venda,-15.8293442,-48.0146122
"SQNW 102 Bloco FNOROESTE, BRASILIA",,apartamento,,127.0,3.0,,,venda,-15.7667421,-47.9089975
"SQS 309 Bloco I, ASA SUL, BRASILIA",,apartamento,3590.0,211.0,4.0,,2.0,venda,-15.8160449,-47.9082314
"SQSW 302 Bloco D, SUDOESTE, BRASILIA",,apartamento,1350.0,81.0,2.0,,1.0,venda,-15.7969403,-47.9241283
"SQNW 105 Bloco ANOROESTE, BRASILIA",,apartamento,3500.0,193.0,4.0,,,venda,-15.7591102,-47.9090158
"SQS 409, ASA SUL, BRASILIA",,apartamento,649000.0,55.0,2.0,,,venda,-15.8239088,-47.90265489999999
"SQN 214, ASA NORTE, BRASILIA",,apartamento,1497.0,97.0,3.0,,1.0,venda,-15.7430241,-47.8878218
"Quadra 104NORTE, AGUAS CLARAS",,apartamento,,260.0,4.0,,,venda,-15.8340951,-48.0189492
"QRSW 5, SUDOESTE, BRASILIA",,apartamento,735000.0,56.0,2.0,,,venda,-15.7879045,-47.9301688
"SQNW 303 Bloco H, NOROESTE, BRASILIA",,apartamento,1450.0,76.0,2.0,,2.0,venda,-15.7414112,-47.9113569
"SQNW 309 Bloco CNOROESTE, BRASILIA",,apartamento,,172.0,4.0,,,venda,-15.7471763,-47.9135269
"QRSW 4 Bloco A 2, SUDOESTE, BRASILIA",,apartamento,794000.0,60.0,2.0,,,venda,-15.7943336,-47.9310994
"SQNW 307 Bloco F, NOROESTE, BRASILIA",,apartamento,1615.0,78.0,2.0,,1.0,venda,-15.7414119,-47.9113569
"Rua 24SUL, AGUAS CLARAS",,apartamento,,94.0,3.0,,,venda,-15.8415964,-48.028829
